Lag,ACF,CI_lower,CI_upper
56,0.716125636804335,0.4593050756029931,0.972946198005677
57,0.7118259247313585,0.4532926885464953,0.9703591609162218
58,0.708884552753105,0.4486702166906976,0.9690988888155124
59,0.7051878623865071,0.44331694944917666,0.9670587753238375
60,0.7011747101392427,0.43767470516620255,0.9646747151122829
61,0.6977223994969513,0.4326216328183947,0.9628231661755078
62,0.6938253696408109,0.42714903301234775,0.960501706269274
63,0.6890422930171534,0.42081703829403433,0.9572675477402723
64,0.6851593079076559,0.4154151288149985,0.9549034870003132
65,0.6824197167660679,0.41118204731851654,0.9536573862136193
66,0.6787304160810979,0.406019257021905,0.9514415751402907
67,0.6731359611581021,0.39897499298242867,0.9472969293337756
68,0.6686825106389344,0.3931029755003865,0.9442620457774822
69,0.6641605805689211,0.3871883090591087,0.9411328520787335
70,0.6595398675719695,0.38120046114171513,0.9378792740022238
71,0.6549284568454956,0.3752474166342798,0.9346094970567114
72,0.6512438580887667,0.37024615187985727,0.9322415642976762
73,0.6469786668922789,0.3646851061434867,0.9292722276410711
74,0.643401704528011,0.3598350138581934,0.9269683951978287
75,0.6405748762091934,0.35575469123563064,0.9253950611827562
76,0.6374631642043862,0.3514058960464206,0.9235204323623518
77,0.6350179318401376,0.3477408199613666,0.9222950437189086
78,0.6326269535791881,0.3441444373320168,0.9211094698263593
79,0.6295655420782915,0.3398916411154264,0.9192394430411566
80,0.6270278543816408,0.3361788812110305,0.9178768275522511
81,0.6230576528054992,0.33104773306569524,0.9150675725453031
82,0.6179268579994556,0.32477515774395266,0.9110785582549585
83,0.614055982798549,0.31978555113522544,0.9083264144618726
84,0.6091751475062714,0.313804114825688,0.9045461801868548
85,0.6053308816001292,0.30888066419100396,0.9017810990092543
86,0.6023884833155407,0.3048764998313807,0.8999004667997008
87,0.5985373454069125,0.29997761402435763,0.8970970767894674
88,0.5959432356885752,0.29635270480278125,0.8955337665743692
89,0.5952266517792927,0.29461772606993614,0.8958355774886493
90,0.5932739271538368,0.29165248036174174,0.8948953739459318
91,0.5914695640443439,0.28884558317363934,0.8940935449150484
92,0.5897910413275359,0.28617389547167477,0.893408187183397
93,0.5874982763063461,0.2828968052012235,0.8920997474114687
94,0.5856436196335493,0.28006859527813327,0.8912186439889653
95,0.5840168606238736,0.2774774828458056,0.8905562384019416
96,0.581594254103888,0.27409887211343825,0.8890896360943377
97,0.5799594298059565,0.2715188849082758,0.8883999747036372
98,0.5770358417373803,0.26765830328317214,0.8864133801915886
99,0.5739474935058462,0.2636451713036645,0.8842498157080279
